Country,Scale,Region,Mandatory policy,Marine Specific,marine included,Implicit_Explicit,Type, Focus,Name,Legislation,Year,Name of Legislation,Objective,Mechanism,Length,Stage,Confirmed,"
Goal",Source,Other/ Notes,
Austria (land-locked),European Union,Europe,Yes,No,No,Neither,Compensation,,,Legislation,,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,Not yet implemented fully,,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf",,
Bahamas ,National,North America,Yes,No,Yes,Explicit,Offset,Biodiversity,EIA; Offset discussion an intermediate goal as part of the National Environmental Management Program (BEMP),Legislation,2001,"Environmental Impact Assessment Law

The planning & subdivisions act, 2010
Environmental impact statements
?
Shall be submitted to the department as part of any proposed type of development that may have significant effects on the environment due to its nature, size or location or when the development is of national importance, or of regional impact.

Draft planning and environmental protection bill (2015)","EIA law requires mitigation, management
and compensatory measures","EIA law requires mitigation, management
and compensatory measures. Offsets not yet required",,Preliminary,confirmed,,"Doswald, N*., Barcellos Harris, M*., Jones, M*., Pilla, E?., and Mulder, Iõ. (2012) Biodiversity offsets: voluntary and compliance regimes. A review of existing schemes, initiatives and guidance for financial institutions. UNEP-WCMC, Cambridge, UK. UNEP FI, Geneva, Switzerland

https://www.thegef.org/sites/default/files/ncsa-documents/ncsa-bahamas-nemap.pdf",,
Belgium,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,In Progress,confirmed,NNL,"Tucker, Graham; Allen, Ben; Conway, Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf","The results achieved through the activities of the BEMP are described in three time frames:
(i) immediate (short-term, i.e. 1-3 years); (ii) intermediate (medium-term, i.e. 3-5 years);
(iii) final (long-term, i.e. beyond 5 years). These results are intended to contribute to
Strategic Outcome outlined in The Bahamas National Environmental Policy.... 
(Intermediate results of BEMP) - Conducting Regulatory Reviews: Conducting reviews of existing and proposed development projects to assess their impacts on the environment and establish mitigation
and compensation measures to reduce, eliminate and offset their adverse effects in
accordance with the rules of the game (the gef). ",
Belize,National,South/Central America,Yes,Yes,Yes,Explicit,Offset,Biodiversity,Marine and coastal biodiversity offset Framework,Legislation,2014,"EIA Regulations 2007: Consistent with sub-regulation 19 of the Belize Environmental Impact Assessment Regulations 1995, a proponent of a project subject to an EIA is required to provide a ?Mitigation Plan?.

This biodiversity offsets framework (2014) has been developed to be applied within the Belize
Coastal Zone and the adjacent Zone of Influence (see text box for definitions) and to support the biodiversity conservation and sustainable development priorities identified in the Belize
Integrated Coastal Zone Management Plan2
Management Act 1998.3","Not yet established

The fundamental goal of ICZM in Belize is to facilitate the improved management of coastal and
marine ecosystems so as to maintain their integrity while ensuring the delivery of ecosystem
service benefits for present and future generations of Belizeans and the global community.","The Environmental Protection Act of Belize provides the regulatory framework for applying the
mitigation hierarchy. Under this Act, development projects are subjected to a formal environmental
impact assessment (EIA) process, including community consultation. Te EIA process aims to identify
and assess all relevant environmental and social consequences, and provide the basis for modifying
project designs to avoid and minimise biodiversity impacts. Offsets can be integrated into the existing EIA
process in Belize by following a formal mitigation hierarchy in all relevant assessments

The approach of the International Finance Corporation (IFC), which underpins the Framework for Belize, suggests that the impacts identification process should consider direct and indirect project-related impacts on ecosystem services and identify any significant residual impacts.",Not yet established,In Progress,confirmed,Undefined,"Belize Coastal Zone Management Authority & Institute and Australia-Caribbean Coral Reef Collaboration
2014, Marine and coastal biodiversity offsets framework for Belize, GBRMPA, Townsville; Villaroya et al. 2014;",,
Bolivia (land-locked),National,South/Central America,Yes,No,No,Neither,EIA ,,"Voluntary forest conservation offsets;
PESA schemes",Legislation & Voluntary,,EIA in place but no legal requirement to offset,,,,Potential,confirmed,,,"and three were developing policies related to offsets
(Bahamas, Chile, Belize and Peru) (Villaroya et al. 2014).",
Botswana (land-locked),National,Africa,Yes,No,No,Neither,Offset,,Botswana Biodiversity Offset Framework,Framework,,,,,,Preliminary,,,"https://info.undp.org/docs/pdc/Documents/BWA/00050137_Inception%20Report%20-%20Final.pdf

http://www.undp.org/content/dam/botswana/docs/Env%20and%20Energy/Botswana%20PAs%20MSP%20Project%20Document_final%20Nov08.pdf",,
Brazil,National,South/Central America,Yes,No,No,Neither,Offset,,Forest set-aside offset,Legislation,,"The Brazilian Forestry Code (Codigo Florestal 1965); National Environmental Policy Act (Lei da Pol¡tica Nacional do Meio Ambiente, LPNMA) and the National Biodiversity Policy;1 specifically to environmental compensation2 the latter applies
and the ?no net loss? principle applies.",,"Landowners must keep certain % of natural vegetation on land, if unable to meet this requirement can compensate another landowner (theoretically within the same watershed) to retain more than the minimum percentage of native vegetation cover (Madsen et al).

Brazilian landowners are required to retain a fixed percentage of natural vegetation
on their property or must offset by compensating another landowner to retain more",Perpetuity preferred (Mckinney and Kiesecker),Implemented,,Undefined,Madsen et al; Pilgrim and Bennum 2014; Sonter et al.; Villaroya et al.,,
Brazil,National,South/Central America,Yes,No,Yes,Explicit,Offset,Biodiversity,Industral impact compensation (developers offset),Legislation,2000,"the National Protected Areas System Law Federal Law 9985/2000, SNUC Law),","to increase the quality or quantity of protected areas management (e.g. Brazil) - TBC 2013

As seen before, a proportion of the money used for MPA implementation in Brazil derives from the ?environmental compensation? legal compromise of development enterprises (e.g. oil and the ports sector), whereby they provide funds for MPAs to offset the environmental impacts of their activities. Some sites have been almost fully dependent on these financial sources for several years, as is the case of Abrolhos MNP. As well as the ethical and equity issues raised by such compensation, the administrative processes through which these funds pass were also considered to be very bureaucratic, consequently limiting their translation into effective marine conservation outcomes. Gerhardinger et al. 2010.","required that a maximum of 0.5% of the capital costs of the development go to the Protected Areas System (Sistema Nacional de
Unidades de Conserva‡Æo, SNUC) through the Environmental Compensation Fund (Fundo de Compensa‡Æo Ambiental, FCA) The
Environmental Compensation Fund is to be used solely for protection of existing protected areas (categories I and II according to the
IUCN), unless a protected area itself is directly affected by the development work. (Madsen et al.)

In Brazil projects subject to environmental licensing must offset their impacts on environmental assets. Impacts on Protected Areas (Law 9985 of 2000), caves (Decree 6640 of 2006) and coastal native vegetation (Decree 5300 of 2004) shall always be offset, although the environmental authority (IBAMA) may require the developer to offset any other residual impacts identified. In Brazil all projects subject to EIA can utilize offsets and those EIAs shown to cause negative impacts on protected areas must implement offsets according to the scheme set by Law 9985. The effective implementation of the offsets can be carried out either by the developer (Normative Instruction 20 of 2011, article 11) or by the agency responsible for managing the protected area (ICMBio
[Chico Mendes Institute for Biodiversity Conservation] in the case of Federal Protected Areas). Offsets will always be aimed at supporting conservation units of the National System of Protected Areas (SNUC, by its Brazilian acronym; Law 9985). During the time this system has been operational, it has generated over US$200 million to be invested in protected areas (Gustavo Pinheiro, personal communication). (Villarroya et al. 2014).

No definition exists with respect to significant impacts. Therefore the environmental impact study has
to identify any (potential) physical, chemical and biological alteration of environmental properties,
caused by any form of human activities which, directly or indirectly, affect the environment (Minist‚rio
do Meio Ambiente 2008). (Darbi et al.)",Perpetuity preferred (Mckinney and Kiesecker),Established,,Undefined,Madsen et al; Pilgrim and Bennum 2014; Sonter et al.; Villaroya et al.; TBC 2013. Government policies on biodiversity offsets; McKinney and Kiesecker 2010.,"Pilot Project (Nature Conservancy) helped facilitate farmers in Lucas do Rio Verde, Mato Grosso, to achieve legal compliance through the purchase of 91,000 hectares of retained forest land to compensate for past deforestation (Madsen et al)

Industrial impacts - defines 'biodiversity as the cbd defintion, which include marine and other aquatic systems",
Bulgaria,National,Europe,Yes,No,Yes,Explicit ,Compensation,Wetland,"National Biodiversity Conservation Plan 2005?2010.
",Framework,2002; 2011,"Biological Diversity act 2002

Environmental Law of Bulgaria: Environmental Protection Act (2011)","Article 34
(1) In the cases under Article 33 herein, the Ministry of Environment and Water shall take compensatory measures necessary to ensure that the coherence of the National Ecological Network is protected, regardless of the phase of implementation of the plan or project.


The major national document related to biodiversity is the second National Biodiversity Conservation Plan 2005?2010. Its long-term goal is: conservation, restoration and sustainable management of biodiversity in the country in order to achieve optimal conditions, environment and life perspective for the Bulgarian population. Its strategic goal is: halting the biodiversity loss in Bulgaria by 2010.

Integration of biodiversity issues in the elaboration and enforcement of environmental legislation related to water, soil, hazardous substances and GMOs, forests, hunting, medicinal plants, fisheries and aquaculture, marine resource management, ecolabeling, environmental impact assessment and environmental assessment, the implementation of the Aarhus Convention; Implementation and optimization of compensation and payment mechanisms to
encourage businesses and NGOs in favour of sustainable management and use of biological resources;",The impact of each of these projects should be evaluated individually in view of the potential for cumulative impact on biodiversity.,,In Progress,,,"http://eeagrants.org/Where-we-work/Bulgaria

CBD 5th National report. Bulgaria. https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf","no criteria available for determining compensation nor the application of funds paid
by the developers, even though funds are usually paid. Furthermore, a number of administrative
bottlenecks exist that make it difficult for moneys paid by developers to be efficiently spent on
priority activities for protected areas.

Brazilian Industrial and Forest Offsets: Brazilian federal legislation requires industrial developments to offset their environmental impacts through payments to the National Protected Areas System (Brazil Fed. Law 9985, Decree 4340). The system is still in its early stages of development, especially with regard to equivalency between industrial environmental impact and the benefits derived from offset payments. For Brazilian forest offsets, federal legislation requires that a minimum area of natural vegetation be maintained on private landholdings (Brazil Fed. Law 4771, Provisional Measures 2166/67). However, the legislation allows for off-site conservation offsets to compensate for natural vegetation clearing that exceeds the required minimum.(McKinney and Kiesecker 2010)",
Bulgaria,National,Europe,Yes,No,Yes,Explicit,Wetland Compensation,Wetland,The National Plan for the Protection of the Most Important Wetlands in Bulgaria 2013?2022,Framework,2013,,"The National Plan for the Protection of the Most Important Wetlands in Bulgaria 2013?2022, envisages the introduction of economic mechanisms for the protection of wetlands, inventory and valuation of ecosystem services, introduction of the compensatory mechanisms for the sustainable management of Natura 2000 areas, agro-ecological and aquaenvironmental measures in the operational programs for the period 2014?2020, supporting private investments by introducing mechanisms for payment for ecosystem services (direct payments ?business-business? or ?state-business? subsidies).",,,In Progress,,,"CBD 5th National report. Bulgaria. https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf

http://webcache.googleusercontent.com/search?q=cache:RouktO-af40J:bbf.biodiversity.bg/document-137+&cd=1&hl=en&ct=clnk&gl=au",,
Bulgaria,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,In Progress,confirmed,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf",,
Cambodia,National,Asia,Yes,No,Yes,Implicit,EIA ,Biodiversity,Payment for Ecosystem Services (PES),Legislation,1999,EIA decree 1999,"ARTICLE 1:
The purpose of this Sub-decree are :
-    An environmental impact assessment (EIA) shall be done on every project and activity, private or public, and shall be reviewed by  the Ministry of Environment before being  submitted to the Royal Government for decision.
-   The nature and size of the proposed projects and activities and existing and in-process  activities, both private and public, shall be subject to environmental impact assessment.
-  Foster public participation in the environmental impact assessment process in recognition that their concerns should be  considered in the project decision-making process (EIA decree).

","The Ministry of Environment shall :

a/  evaluate and review the environmental impact assessment reports in collaboration with other Governmental Institutions.

b/ take appropriate administrative, conduct surveillance and monitor to ensure that the Environmental Management Plan during  project construction, operation, and closure, which contained in an approved EIA report be implemented by the Project Sponsor (EIA decree).

",,Potential,confirmed,,"madsen et al. 2011; 

http://www.iied.org/sustainable-tourism-srepok-wilderness-area-cambodia

Clements, Tom, et al. ""Payments for biodiversity conservation in the context of weak institutions: Comparison of three programs from Cambodia."" Ecological Economics 69.6 (2010): 1283-1291.- http://www.sciencedirect.com/science/article/pii/S0921800909004595",,
